movie,year,genres,runtime_minutes,averagerating,numvotes,studio,domestic_gross,foreign_gross
The Skin I Live In,2011,"['Drama', 'Horror', 'Thriller']",120.0,7.6,123434,SPC,3200000.0,27700000.0
The Lincoln Lawyer,2011,"['Crime', 'Drama', 'Thriller']",118.0,7.3,196109,LGF,58000000.0,17000000.0
Rango,2011,"['Adventure', 'Animation', 'Comedy']",107.0,7.2,215761,Par.,123500000.0,122200000.0
The Bourne Legacy,2012,"['Action', 'Adventure', 'Thriller']",135.0,6.7,268678,Uni.,113200000.0,162900000.0
Casino Jack,2010,"['Biography', 'Comedy', 'Crime']",108.0,6.2,16191,ATO,1000000.0,40700.0
The Five-Year Engagement,2012,"['Comedy', 'Romance']",124.0,6.2,88469,Uni.,28800000.0,25100000.0
Diary of a Wimpy Kid,2010,"['Comedy', 'Drama', 'Family']",94.0,6.2,38640,Fox,64000000.0,11700000.0
Inhale,2010,"['Drama', 'Thriller']",83.0,6.6,6006,IFC,4100.0,51000.0
Charlie Countryman,2013,"['Comedy', 'Drama', 'Romance']",103.0,6.4,25356,MNE,11700.0,0.0
One Chance,2013,"['Biography', 'Comedy', 'Drama']",103.0,6.8,10677,Wein.,101000.0,10800000.0
Kites,2010,"['Action', 'Drama', 'Romance']",123.0,6.1,11353,Relbig.,1600000.0,1300000.0
